id,name,segment_ids,description,part_of
408,Park Village GW Connector,6515,,
409,Park Village Greenway,6635; 6637,,
410,Park West,4444,,
411,Park West Greenway,4445,,
412,Parkway Trail,168,,
413,Parliament Pl (extension),6713,,
414,Pearces Rd. Bike,32,,
415,Pemberley Greenway,3767,,
416,Penny Rd Street-Side Trail,6136; 6137; 6141,,
417,Perry Creek Greenway,104; 2468,,
418,Pine Plaza Drive,6801,,
419,Piney Plains Greenway,3505; 3517; 5958; 6516,,
420,Pirate's Cove Greenway,3526,,
421,Pirates Cove Greenway,726,,
422,Pirates Cove Greenway Connector,3888,,
423,Pittard Sears Rd Street-Side Trail,4889; 6595,,
424,Poole Rd. Bike R,28,,
425,Poole Road,20,,
426,Pott's Branch Trail,6199,,
427,Preston Village Greenway,3929,,
428,Pullen Park Trails,2873,,
429,Quail Creek Trail,178,,
430,Quarry Rd. Bike,25,,
431,RTP - Phase 8,1133,,
432,RTP - Phase 9,1135,,
433,Raftery Greenway,4089; 4090; 4091; 6634,,
434,Reedy Branch Greenway,6665,,
435,Reedy Creek Greenway,3451; 4357; 6793; 6794; 6795; 6796,,
436,Reedy Creek Trail,359; 449; 575; 578; 579; 661; 700; 6224,,
437,Regency Pkwy Street-Side Trail,6138,,
438,Reservoir Trails,4240; 4241; 4242; 4243; 4244; 4245; 4246; 4247; 5935,,
439,Richardson Rd,6685,,
440,Richland Creek Greenway,4251; 6051,,
441,Riggsbee Farm Greenway,4072,,
442,Roberts Road GW Connector,6171,,
443,Roberts Road Greenway,3913; 3914; 4505,,
444,Robertson Pond C,36,,
445,Rocky Branch Trail,532; 2867; 2882; 3938; 3947; 4097,,
446,Rogers Rd. Bike,24,,
447,Rolesville Rd,13,,
448,Rolling Knoll Greenway,3342,,
449,S Turkey Creek Trail,657,,
450,S Walker St Street-Side Trail,6554,,
451,SE Cary Pkwy Street-Side Trail,6149,,
452,SW Cary Pkwy Street-Side Trail,3649,,
453,Safe Routes To School,6052,,
454,Sal's Branch Trail,6197,,
455,"Salem Pond Park, Davis Drive Access",6725,,
456,Sanford Creek Greenway,106; 3127; 3818; 4116; 4285; 6659,,
457,Sawmill Connector,4472,,
458,Sawmill Creek Greenway,4471,,
459,Sawmill Segment,3954,,
460,Seagroves Neighborhood Farm Loop Trail,6727; 6728; 6729; 6730; 6731; 6732; 6733; 6734,,
461,Sears Farm Rd Park Greenway,3424; 4131; 4132; 4133; 4134; 4317; 4318; 4319; 4320,,
462,Selma Bike Route,10,,
463,Settlecroft Trail,3131; 4903; 4904,,
464,Shaffer Park Greenway,6822,,
465,Shelley Lake Segment,440,,
466,Shepherds Vineyard,6705; 6706; 6797,,
467,Sherwood Greens Greenway,5915,,
468,Shiloh Greenway,4376; 4377; 4379; 4380; 6664,,
469,Silverton Greenway,3435,,
470,Sippahaw Trail,165,,
471,Slater Rd,4371,,
472,Smith Creek Greenway,4278; 4299; 5936; 5937; 5938; 5939; 5940; 6210; 6604,,
473,Smith Creek Greenway Connection,6211,,
474,Smithfield Road,19,,
475,Snelling Branch Trail,3953,,
476,Somerset Farm Greenway,6661,,
477,Sorrell Grove Church Rd,4372,,
478,Sorrells Grove Greenway,4367,,
479,Sorrells Grove Lake Trail,4368; 4369,,
480,South Garner Greenway,4043; 4044; 4336,,
481,South Garner park trail,2691; 2721,,
482,South Hills Mall Street-Side Trail,3500,,
483,South Salem/Old US 1 Multi-Use Path,6772,,
484,Southbridge GW Connector,6562,,
485,Southbridge Greenway,6908; 6909,,
486,Southeast Garner Greenway,162,,
487,Southeast Garner Greenway Secondary,2924,,
488,Southern Greenway,126; 2965,,
489,Sowter Greenway,3379; 3392; 3394; 3637; 3964,,
490,Speight Branch GW Connector,3887; 6542,,
491,Speight Branch Greenway,1081; 3513; 3514; 3534; 3989; 6625,,
492,Spring Forest Tail,3258,,
